,particle,turning_point,v_e (px/frame),v_g (px/frame),v_e (m/s),v_g (m/s),radius,charge,plate err,voltage err,v_e prop,v_g prop,v_e err,v_g err,ep,charge err,quantization
43,2425.0,252,0.6577579360947368,-0.2508024771468254,9.084052002576849e-05,3.4637404123220043e-05,5.807640017181845e-07,1.7741891193660592e-19,2.0080005174911646e-23,1.9713212437400666e-23,1.286013193443348e-22,1.9855418744372523e-21,1.694793248523655e-06,6.462230581437285e-07,0.01179761253389875,1.9857412602089487e-21,1.1073617515979242
44,2524.0,258,0.785162719,-0.12636363191860467,0.00010843592419770284,1.7451614653232455e-05,4.122349679351108e-07,1.1718907960879298e-19,1.3263283487098095e-23,1.3021008845421447e-23,1.5537665152411263e-22,2.0259344125794243e-21,2.8372446266536507e-06,4.5662450214412286e-07,0.02181109300830339,2.0260196705446243e-21,0.7314367056320937
45,2625.0,251,0.607293702739645,-0.21781741144223105,8.38710910776425e-05,3.0081958483932572e-05,5.412277733420363e-07,1.4810822810940486e-19,1.6762666135313115e-23,1.6456469789933878e-23,1.9806268148648764e-22,3.154960833514232e-21,2.9369455398237945e-06,1.053391253927559e-06,0.03189551962057717,3.155048282258566e-21,0.9244188520550626
46,2725.0,252,1.1561511326481482,-0.25283529075793654,0.0001596717642689335,3.4918148505637034e-05,5.831128668421495e-07,2.7646240033519844e-19,3.1289597984812665e-23,3.071804448168873e-23,5.735703657672337e-22,6.0398380775951775e-21,5.965079010983801e-06,1.3044855845806963e-06,0.03444933039100283,6.039997238473495e-21,1.7255425847473413
47,2925.0,251,1.333679342876923,-0.2246386106494024,0.0001841895299262727,3.1024009121675935e-05,5.496370252373487e-07,2.849399841095001e-19,3.224907814507624e-23,3.165999823438891e-23,4.960028849627444e-22,4.747326439266027e-21,5.179626635770632e-06,8.724316960868827e-07,0.024122773875766872,4.747541540574834e-21,1.7784555009362488
48,2944.0,251,0.5041758236895161,-0.2790910203306773,6.962986152671719e-05,3.8544230377342795e-05,6.126419198227882e-07,1.6294518611834278e-19,1.844189069118162e-23,1.8105020679815868e-23,1.2778241288899456e-22,2.434397013560438e-21,1.733988384971842e-06,9.598647235043886e-07,0.020279646213610874,2.4345341884512653e-21,1.0170238603364399
49,3023.0,251,0.7673109330919542,-0.20265402498007967,0.0001059704799570696,2.798779916484967e-05,5.220491526091862e-07,1.6670954389290455e-19,1.8867935033176165e-23,1.8523282654767178e-23,8.866463062623523e-22,1.193889392817713e-20,1.248298339980708e-05,3.2968731717879265e-06,0.11690677293800666,1.1938923206857371e-20,1.0405191336045425
50,3133.0,247,0.8901593663529412,-0.0240101025748988,0.0001229366235022714,3.3159466181822063e-06,1.7969284550211424e-07,3.810447690893793e-20,4.312607292914573e-24,4.233830767659771e-24,5.484254915950475e-22,1.1465408305645542e-20,2.2979785959510366e-05,6.198294809811614e-07,0.1863642405774364,1.1465409898432345e-20,0.23782943899848252
51,3162.0,249,1.83741575325,-0.27898524431325294,0.00025375870570222786,3.8529622042115194e-05,6.125258126052025e-07,4.401823351309057e-19,4.981917356415487e-23,4.8909148347878427e-23,2.530956587673906e-21,2.0038389286712862e-20,2.0287578957302883e-05,3.0803780591933674e-06,0.07863103310300455,2.0038510904273688e-20,2.7474020459960506
52,3244.0,249,0.66604377092,-0.19685287172289154,9.198484608110038e-05,2.718662330711551e-05,5.145228369956513e-07,1.457278872163928e-19,1.6493262738978375e-23,1.6191987468488094e-23,3.4454052242572524e-22,5.077348724125529e-21,5.233156838325842e-06,1.5466880658275306e-06,0.05502500806238343,5.07740133085352e-21,0.9095619327339259
53,3412.0,254,2.318845769454545,-0.06055007775984253,0.00032024722773769005,8.362347680610262e-06,2.8535870854706696e-07,1.8999710376682724e-19,2.150358597745947e-23,2.1110789307425255e-23,2.148061742626561e-21,2.4873453424005425e-20,3.467864207976142e-05,9.055343404875217e-07,0.10731823031818218,2.487347167778962e-20,1.1858686502425595
54,3452.0,250,0.975009514203252,-0.134777816488,0.0001346549641440412,1.8613666617842394e-05,4.257385594423556e-07,1.485416988079452e-19,1.68117256959589e-23,1.6504633200882806e-23,3.1531357756842e-22,3.654203858582242e-21,5.03672449420716e-06,6.962380568517771e-07,0.03449951998395192,3.65427980279498e-21,0.9271243633602695
55,3524.0,253,1.2420149359861112,-0.006888396695652171,0.00017153009712755438,9.513310347755386e-07,9.624825249500284e-08,1.9362064940679673e-20,2.1913693414191552e-24,2.1513405489644088e-24,8.381955997861934e-23,3.0883939249789402e-21,5.7541903670648575e-06,3.1913582326747767e-08,0.03027305701511781,3.088395451721261e-21,0.12084850432926159
56,3533.0,248,0.9105452406404494,-0.12523842830645163,0.00012575204133280664,1.7296216936756812e-05,4.103954929454325e-07,1.3241972742630573e-19,1.4987065262415203e-23,1.4713303047367307e-23,1.1746281281196882e-21,1.4183606671596463e-20,2.0157632794631223e-05,2.7725258854821294e-06,0.15964375412489787,1.4183622220997268e-20,0.8264989324323482
57,3553.0,247,0.5138961182121212,-0.24121183585425102,7.097229551463625e-05,3.3312876064203835e-05,5.695516118646778e-07,1.4407115949288974e-19,1.630575679105977e-23,1.6007906610321086e-23,3.7153697227286386e-22,6.77759710604706e-21,5.506329621313745e-06,2.5845532388853203e-06,0.07622609457957362,6.777635624808703e-21,0.8992214515879547
58,3632.0,251,0.8399787269000001,-0.14772228375697213,0.00011600636066090567,2.040137919969501e-05,4.457145225826194e-07,1.399448537467267e-19,1.5838747722906837e-23,1.5549428194080752e-23,2.9956333321570572e-22,3.748840972249235e-21,4.862738387737697e-06,8.551821575296007e-07,0.03934735736976422,3.748906678734639e-21,0.8734670767649801
59,3652.0,247,1.1557198849000003,-0.12350550627530363,0.00015961220623465986,1.705688947320961e-05,4.075462847261876e-07,1.6211936851637889e-19,1.8348425899069192e-23,1.8013263168486548e-23,1.8788715563448148e-22,2.0275069206028983e-21,2.910723200969007e-06,3.110531775561297e-07,0.011120577267606065,2.0276699572355453e-21,1.0118695122670645
60,3723.0,249,0.7828485898461539,-0.16506830523293173,0.00010811632836433246,2.2796974181961204e-05,4.71156974603867e-07,1.4381010872399375e-19,1.627621145830393e-23,1.5978900969332644e-23,1.345676838133934e-21,1.7596397423009064e-20,2.1155484205089537e-05,4.460760317397336e-06,0.19513884186383593,1.7596412205583718e-20,0.8975921008409277
61,3734.0,250,0.8858909521913579,-0.15622733256399998,0.00012234712858195815,2.1575980088681734e-05,4.58365885345499e-07,1.528443947188792e-19,1.7298698337232322e-23,1.6982710524319916e-23,2.2364157058855317e-22,2.714332572286373e-21,3.43553457296294e-06,6.058583180443919e-07,0.024075016713880272,2.7144408209418888e-21,0.9539796790000563
62,3813.0,247,1.7199244100555557,-0.15459998283400805,0.00023753241008703956,2.1351232825860465e-05,4.559723404608997e-07,2.731634708786077e-19,3.091623011868755e-23,3.035149676428975e-23,2.444758009998187e-21,2.1225595830142585e-20,2.7855088999276255e-05,2.5038288054698715e-06,0.11637451592049186,2.1225640046208427e-20,1.7049522865566185
63,3822.0,250,0.7301676740186914,-0.157487468196,0.00010084076158422879,2.1750012768231795e-05,4.6021077095769934e-07,1.3083506450351749e-19,1.4807715500077307e-23,1.4537229389279723e-23,3.0844841048795414e-22,4.198407326900302e-21,5.134391560373113e-06,1.1074200575323911e-06,0.04882140697570173,4.198458607875846e-21,0.8166082443951108
64,3823.0,249,1.1242323819263158,-0.15098247742168674,0.000155263583454941,2.0851632509667595e-05,4.5060608471435574e-07,1.8313558829758685e-19,2.0727009993387866e-23,2.0348398699731878e-23,1.2413736483147804e-21,1.3244361121975818e-20,1.745478069055439e-05,2.3441470588105232e-06,0.11148737317606322,1.3244392971955244e-20,1.1430424390698226
65,3832.0,250,1.3079923363170731,-0.195426413712,0.00018064199229007763,2.698962045790071e-05,5.126552501651464e-07,2.5278601613627607e-19,2.8609940489182026e-23,2.8087335126252904e-23,1.532148216186384e-21,1.4846293322728732e-20,1.7441006417471234e-05,2.6058511514612842e-06,0.095462210463709,1.4846347458266934e-20,1.5777662175504088
66,3843.0,255,0.49703820370081975,-0.26840404854901956,6.864411118310428e-05,3.706829216227475e-05,6.007977663978552e-07,1.5560583143439643e-19,1.76112335846449e-23,1.7289536826044052e-23,9.043351032117852e-23,1.726311255769258e-21,1.2654025627248702e-06,6.833260871111983e-07,0.011442422778320693,1.7264876586375195e-21,0.9712152113615365
67,3851.0,247,1.7063582513701299,-0.3301271361133603,0.00023565883799902648,4.5592639896078745e-05,6.66307022353312e-07,4.675308749858956e-19,5.2914440104909535e-23,5.194787499843286e-23,7.034225501182198e-22,5.878150695982591e-21,5.304093856585147e-06,1.0261768378035077e-06,0.0172538572080188,5.878618385672699e-21,2.9180982061003826
68,4022.0,250,1.3507829379999998,-0.167175030852,0.00018655164430001205,2.3087926278904366e-05,4.741540716129048e-07,2.320884211256334e-19,2.6267417866394033e-23,2.5787602347292607e-23,1.7012268835863038e-21,1.636392878097761e-20,2.0794199454686936e-05,2.5735229825503844e-06,0.11052518796994164,1.636397018228106e-20,1.448581990149447
69,4061.0,250,1.469300540472727,-0.44951824626000003,0.00020291967279504063,6.208130531084688e-05,7.775126087385058e-07,5.265806832805436e-19,5.959760845033228e-23,5.85089648089493e-23,6.957352282496829e-22,6.732957715086324e-21,4.673573400949888e-06,1.4298344423710998e-06,0.017932208697593433,6.73347568251616e-21,3.2866581213367443
70,4114.0,245,0.7741352367375001,-0.1797614679387755,0.00010691295933733488,2.4826192634188033e-05,4.916794772573817e-07,1.5245679221852855e-19,1.725483007015812e-23,1.693964357983651e-23,1.0006611839637279e-21,1.3246659845104663e-20,1.5050724751290655e-05,3.494919552088398e-06,0.14003159457615746,1.3246681914071677e-20,0.9515604544707943
71,4124.0,255,0.6567792263529413,-0.23526583627450978,9.07053540368534e-05,3.249169601565342e-05,5.624879348683812e-07,1.6768293047735437e-19,1.8978101460416607e-23,1.863143671970605e-23,3.0851508564435285e-22,4.715221520054458e-21,4.23145606502669e-06,1.5157559950935138e-06,0.044355189213776784,4.715296521105959e-21,1.0465945348195123
72,4125.0,249,0.6686493013591549,-0.17969584557429719,9.23446862700931e-05,2.481712977171628e-05,4.915897246663773e-07,1.355568422172757e-19,1.5342119188455946e-23,1.506187135747508e-23,9.371945853486501e-22,1.362678342268222e-20,1.5000584411018707e-05,4.0313250823225755e-06,0.16179697373452206,1.3626800383409048e-20,0.8460792629166967
73,4161.0,254,0.660699822859155,-0.20026204066535433,9.124681314497182e-05,2.76574510426617e-05,5.189590583377496e-07,1.4691797066580071e-19,1.662795459094524e-23,1.632421896286675e-23,1.5500101489432885e-22,2.3017890630902697e-21,2.3379677337646175e-06,7.0865190692395e-07,0.021156983511261006,2.3019070050635423e-21,0.9169898494013156
74,4211.0,251,1.0863892445609753,-0.20734307554183265,0.00015003720747522344,2.8635386625345792e-05,5.280542548299242e-07,2.254442782538214e-19,2.5515443785431868e-23,2.5049364250424608e-23,5.709615979688846e-22,6.173657845085069e-21,6.831206022970964e-06,1.3037714369448482e-06,0.04317517464911129,6.173761389679823e-21,1.4071125120194858
75,4213.0,249,0.8869776081307188,-0.14827785675100402,0.00012249720262166752,2.047810733465264e-05,4.4655188630143075e-07,1.4702359587060033e-19,1.6639909092502183e-23,1.6335955096733372e-23,1.1564535759954903e-21,1.403373453959886e-20,1.828359939847928e-05,3.0565066216428223e-06,0.14855585982077305,1.4033753912547188e-20,0.91764911007721
76,4224.0,242,1.0586567739217392,-0.15656775787190083,0.00014620717834714505,2.162299497106119e-05,4.58865011950484e-07,1.7847236573616587e-19,2.0199233488938574e-23,1.983026285957399e-23,3.4514363168113955e-22,3.792432286727234e-21,4.888587687549924e-06,7.229871212786984e-07,0.03015088199021637,3.792537923049654e-21,1.1139368930638183
